XX,Typhi,Weltevreden,Infantis,Agona,Heidelberg,Typhimurium,Derby,Kentucky,Enteritidis,Newport
CDD:226831,1,-1,-1,1,-1,-1,-1,-1,-1,1
CDD:225384,0,1,-1,-1,-1,0,1,-1,1,-1
CDD:224122,-1,-1,1,-1,-1,-1,-1,0,-1,-1
CDD:225718,0,1,1,0,-1,0,1,0,-1,0
CDD:225995,-1,-1,-1,1,-1,-1,-1,-1,-1,1
CDD:225051,-1,-1,-1,-1,1,1,-1,-1,-1,-1
CDD:223934,-1,-1,0,-1,1,-1,-1,0,-1,-1
CDD:225186,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
CDD:225583,0,-1,-1,-1,-1,-1,-1,0,1,-1
CDD:224404,1,-1,-1,1,0,-1,-1,0,0,1
